"","base_precision","quant_precision","lng","model","p.value","OR"
"37","8bit-rnd","8bit-mixed","java","deepseekcoder-7b",0.0595264182547468,1.25
"38","8bit-rnd","8bit-code","java","deepseekcoder-7b",0.714496875952714,0.957219251336898
"39","8bit-mixed","8bit-code","java","deepseekcoder-7b",0.0465597181059854,0.774647887323944
"40","4bit-rnd","4bit-mixed","java","deepseekcoder-7b",0.53981842282834,1.07027027027027
"41","4bit-rnd","4bit-code","java","deepseekcoder-7b",0.37516848431449,0.886792452830189
"42","4bit-mixed","4bit-code","java","deepseekcoder-7b",0.173930705130313,0.814070351758794
"43","3bit-rnd","3bit-mixed","java","deepseekcoder-7b",0.103725278045684,1.22549019607843
"44","3bit-rnd","3bit-code","java","deepseekcoder-7b",0.252155875976368,1.13502109704641
"45","3bit-mixed","3bit-code","java","deepseekcoder-7b",0.523928681806676,0.934883720930232
"46","2bit-rnd","2bit-mixed","java","deepseekcoder-7b",1.4578965239612e-08,1.66169154228856
"47","2bit-rnd","2bit-code","java","deepseekcoder-7b",1.66549214694071e-09,1.79881656804734
"48","2bit-mixed","2bit-code","java","deepseekcoder-7b",0.96181016385641,1.00921658986175
"25","8bit-rnd","8bit-mixed","py","deepseekcoder-7b",0.537939138576161,0.865671641791045
"26","8bit-rnd","8bit-code","py","deepseekcoder-7b",0.577579278734093,0.940298507462687
"27","8bit-mixed","8bit-code","py","deepseekcoder-7b",0.577579278734093,1.08474576271186
"28","4bit-rnd","4bit-mixed","py","deepseekcoder-7b",0.376363203863066,0.891774891774892
"29","4bit-rnd","4bit-code","py","deepseekcoder-7b",0.376302976506882,0.863453815261044
"30","4bit-mixed","4bit-code","py","deepseekcoder-7b",0.694587176483061,0.957547169811321
"31","3bit-rnd","3bit-mixed","py","deepseekcoder-7b",0.000672256159730027,1.39622641509434
"32","3bit-rnd","3bit-code","py","deepseekcoder-7b",0.0692932174158865,1.19827586206897
"33","3bit-mixed","3bit-code","py","deepseekcoder-7b",0.0857447828751239,0.848605577689243
"34","2bit-rnd","2bit-mixed","py","deepseekcoder-7b",4.34535845588258e-31,3.04724409448819
"35","2bit-rnd","2bit-code","py","deepseekcoder-7b",4.5436716096362e-24,2.56849315068493
"36","2bit-mixed","2bit-code","py","deepseekcoder-7b",0.148358770298501,0.865800865800866
"13","8bit-rnd","8bit-mixed","java","codellama-7b",0.710694128871821,1.1304347826087
"14","8bit-rnd","8bit-code","java","codellama-7b",0.710694128871821,1.07692307692308
"15","8bit-mixed","8bit-code","java","codellama-7b",0.710694128871821,0.956043956043956
"16","4bit-rnd","4bit-mixed","java","codellama-7b",0.29611166243247,1.1151832460733
"17","4bit-rnd","4bit-code","java","codellama-7b",0.203548057977365,0.852941176470588
"18","4bit-mixed","4bit-code","java","codellama-7b",0.0248227728422485,0.755868544600939
"19","3bit-rnd","3bit-mixed","java","codellama-7b",0.00728577587364879,1.375
"20","3bit-rnd","3bit-code","java","codellama-7b",0.0284130838797413,1.27810650887574
"21","3bit-mixed","3bit-code","java","codellama-7b",0.54087307693069,0.934673366834171
"22","2bit-rnd","2bit-mixed","java","codellama-7b",9.16872137995279e-35,4.20547945205479
"23","2bit-rnd","2bit-code","java","codellama-7b",1.27002260140916e-17,2.51351351351351
"24","2bit-mixed","2bit-code","java","codellama-7b",0.0016895718081755,0.733870967741935
"1","8bit-rnd","8bit-mixed","py","codellama-7b",1,0.992248062015504
"2","8bit-rnd","8bit-code","py","codellama-7b",0.508354028995143,0.878571428571429
"3","8bit-mixed","8bit-code","py","codellama-7b",0.508354028995143,0.877862595419847
"4","4bit-rnd","4bit-mixed","py","codellama-7b",0.810790822396576,0.964788732394366
"5","4bit-rnd","4bit-code","py","codellama-7b",0.116304591697895,1.22297297297297
"6","4bit-mixed","4bit-code","py","codellama-7b",0.111685549775849,1.27338129496403
"7","3bit-rnd","3bit-mixed","py","codellama-7b",1.7256561560491e-11,2.16363636363636
"8","3bit-rnd","3bit-code","py","codellama-7b",1.45757004781284e-07,1.9468085106383
"9","3bit-mixed","3bit-code","py","codellama-7b",0.0365779277381271,0.789189189189189
"10","2bit-rnd","2bit-mixed","py","codellama-7b",6.15544569555298e-35,3.95121951219512
"11","2bit-rnd","2bit-code","py","codellama-7b",4.46867607005455e-39,4.70149253731343
"12","2bit-mixed","2bit-code","py","codellama-7b",0.779906358279124,1.03821656050955
